Date,Open,High,Low,Close,Adj Close,Volume
2019-04-30,63.599998,63.930000,63.509998,63.820000,59.422810,761200
2019-05-01,63.779999,64.059998,63.639999,63.840000,59.441437,697100
2019-05-02,63.840000,64.099998,63.650002,63.790001,59.394886,1488900
2019-05-03,63.900002,64.320000,63.799999,63.950001,59.543861,966600
2019-05-06,63.139999,63.770000,63.040001,63.770000,59.376259,1275500
2019-05-07,63.310001,63.560001,63.070000,63.520000,59.143486,1168800
2019-05-08,63.360001,63.799999,63.139999,63.619999,59.236595,710900
2019-05-09,63.299999,63.599998,63.060001,63.490002,59.115555,892900
2019-05-10,63.320000,63.389999,62.560001,63.380001,59.013130,1830700
2019-05-13,62.790001,63.209999,62.240002,62.869999,58.538269,1586800
2019-05-14,62.900002,63.459999,62.770000,62.939999,58.603447,1373100
2019-05-15,62.790001,63.389999,62.689999,63.299999,58.938648,990900
2019-05-16,63.500000,63.770000,63.250000,63.450001,59.078308,997800
2019-05-17,63.230000,63.349998,62.750000,63.080002,58.733799,1100600
2019-05-21,63.000000,63.240002,61.340000,63.060001,58.715179,1258400
2019-05-22,62.810001,62.959999,62.520000,62.810001,58.482407,1065900
2019-05-23,62.169998,62.799999,61.900002,62.320000,58.026169,1349400
2019-05-24,62.459999,62.810001,62.119999,62.150002,57.867878,963500
2019-05-27,62.200001,62.570000,62.090000,62.570000,58.258938,486300
2019-05-28,62.439999,62.599998,62.099998,62.270000,57.979607,790300
2019-05-29,62.000000,62.270000,61.509998,61.889999,57.625793,1284100
2019-05-30,61.450001,61.770000,60.820000,61.299999,57.076443,1492600
2019-05-31,60.650002,60.869999,60.400002,60.709999,56.527096,1583300
2019-06-03,60.650002,61.049999,60.389999,60.730000,56.545715,1388300
2019-06-04,61.060001,61.730000,60.770000,61.599998,57.355766,1565700
2019-06-05,61.680000,61.990002,61.320000,61.970001,57.700279,1092400
2019-06-06,61.810001,62.000000,61.310001,61.779999,57.523373,665900
2019-06-07,61.709999,62.130001,61.709999,61.889999,57.625793,694400
2019-06-10,62.090000,62.299999,61.939999,62.070000,57.793388,901600
2019-06-11,62.230000,62.250000,61.500000,61.730000,57.476818,1181100
2019-06-12,61.720001,61.799999,61.200001,61.349998,57.122997,1032700
2019-06-13,61.389999,61.740002,61.139999,61.330002,57.104378,1310000
2019-06-14,61.270000,61.939999,61.130001,61.730000,57.476818,666900
2019-06-17,61.689999,62.080002,61.580002,61.939999,57.672348,666100
2019-06-18,62.029999,62.480000,61.810001,62.299999,58.007542,1630500
2019-06-19,62.389999,62.759998,62.369999,62.549999,58.240314,1064600
2019-06-20,62.730000,62.750000,62.320000,62.570000,58.258938,2089900
2019-06-21,62.480000,62.880001,62.459999,62.610001,58.296185,2447200
2019-06-24,61.900002,62.130001,61.750000,61.799999,58.173813,2193500
2019-06-25,61.770000,61.939999,61.549999,61.680000,58.060852,1608200
2019-06-26,61.660000,61.900002,61.119999,61.330002,57.731396,1379000
2019-06-27,61.290001,61.599998,61.250000,61.430000,57.825523,767100
2019-06-28,61.540001,62.209999,61.529999,62.209999,58.559753,1299200
2019-07-02,62.369999,62.750000,62.200001,62.520000,58.851566,1090200
2019-07-03,62.540001,63.310001,62.490002,62.959999,59.265747,2225400
2019-07-04,62.950001,63.230000,62.889999,63.110001,59.406944,370700
2019-07-05,63.009998,63.369999,63.000000,63.310001,59.595215,1365200
2019-07-08,63.110001,63.490002,62.900002,63.220001,59.510490,1394200
2019-07-09,63.119999,64.089996,63.049999,63.889999,60.141178,1310400
2019-07-10,63.869999,64.000000,63.470001,64.000000,60.244724,1357500
2019-07-11,63.900002,63.930000,63.509998,63.740002,59.999981,1083300
2019-07-12,63.630001,63.770000,63.279999,63.279999,59.566971,1487700
2019-07-15,63.279999,63.480000,63.150002,63.320000,59.604626,774500
2019-07-16,63.119999,63.500000,63.070000,63.230000,59.519905,695000
2019-07-17,63.110001,63.340000,62.869999,63.099998,59.397530,998800
2019-07-18,62.910000,63.250000,62.910000,63.060001,59.359879,675700
2019-07-19,63.250000,63.360001,63.080002,63.330002,59.614037,804200
2019-07-22,63.349998,63.400002,63.130001,63.310001,59.595215,395400
2019-07-23,63.419998,63.660000,63.369999,63.470001,59.745823,548800
2019-07-24,63.340000,64.160004,63.200001,64.010002,60.254139,935000
2019-07-25,64.000000,64.150002,63.700001,63.880001,60.131763,700500
2019-07-26,63.939999,64.410004,63.860001,64.160004,60.395336,846400
2019-07-29,64.330002,64.349998,63.849998,64.040001,60.282375,844400
2019-07-30,63.570000,63.849998,63.560001,63.840000,60.094109,769800
2019-07-31,63.759998,64.050003,63.540001,63.880001,60.131763,761000
2019-08-01,63.889999,64.160004,63.540001,63.820000,60.075287,1126200
2019-08-02,63.610001,63.610001,62.869999,63.340000,59.623451,890000
2019-08-06,62.410000,62.950001,61.910000,62.810001,59.124554,1196600
2019-08-07,62.200001,63.320000,62.139999,63.119999,59.416359,762000
2019-08-08,63.259998,63.590000,62.910000,63.160000,59.454010,614500
2019-08-09,63.099998,63.439999,62.740002,62.959999,59.265747,760500
2019-08-12,62.560001,62.830002,62.240002,62.799999,59.115135,931200
2019-08-13,62.660000,63.070000,62.430000,62.509998,58.842152,979300
2019-08-14,62.000000,62.139999,60.610001,61.000000,57.420753,1605400
2019-08-15,61.000000,61.230000,60.099998,60.560001,57.006569,1122600
2019-08-16,61.240002,61.250000,60.500000,61.049999,57.467815,552500
2019-08-19,61.299999,61.419998,60.880001,61.209999,57.618431,669600
2019-08-20,60.799999,61.049999,60.419998,60.919998,57.345440,824000
2019-08-21,61.119999,61.250000,60.799999,61.150002,57.561954,762000
2019-08-22,61.299999,61.700001,61.049999,61.279999,57.684322,627500
2019-08-23,60.709999,60.779999,60.250000,60.380001,56.837132,783300
2019-08-26,60.630001,60.919998,60.480000,60.630001,57.072468,527200
2019-08-27,60.889999,60.939999,60.279999,60.450001,56.903027,968000
2019-08-28,61.349998,61.419998,60.090000,60.900002,57.326626,1121700
2019-08-29,61.230000,62.570000,61.110001,62.130001,58.484447,1264700
2019-08-30,62.389999,62.750000,61.930000,62.520000,58.851566,1017300
2019-09-03,61.930000,62.430000,61.799999,62.230000,58.578583,1403200
2019-09-04,62.410000,62.549999,62.099998,62.270000,58.616238,1029600
2019-09-05,62.570000,63.750000,62.529999,63.509998,59.783474,1657600
2019-09-06,63.369999,63.549999,62.869999,63.259998,59.548145,830700
2019-09-09,63.320000,63.610001,63.200001,63.430000,59.708168,659100
2019-09-10,63.400002,64.050003,63.320000,63.730000,59.990562,980000
2019-09-11,63.790001,64.519997,63.639999,64.160004,60.395336,1073200
2019-09-12,64.029999,64.739998,63.970001,64.529999,60.743622,1957000
2019-09-13,64.529999,65.070000,64.519997,64.519997,60.734211,1443400
2019-09-16,64.000000,64.839996,63.910000,64.629997,60.837757,970300
2019-09-17,64.389999,64.809998,64.139999,64.589996,60.800102,929600
2019-09-18,64.550003,64.900002,64.379997,64.830002,61.026028,1101900
2019-09-19,64.750000,65.330002,64.709999,64.989998,61.176636,1233500
2019-09-20,65.000000,65.599998,64.980003,65.330002,61.496689,2771500
2019-09-23,65.000000,65.779999,64.959999,65.529999,61.684952,1110200
2019-09-24,65.730003,66.000000,65.519997,65.769997,61.910862,1394400
2019-09-25,65.650002,66.250000,65.650002,66.150002,62.268566,2861600
2019-09-26,66.150002,66.570000,66.110001,66.570000,62.663933,1785800
2019-09-27,66.000000,66.300003,65.760002,65.949997,62.720982,1228900
2019-09-30,65.949997,66.470001,65.839996,65.919998,62.692459,838300
2019-10-01,65.910004,66.220001,65.290001,65.949997,62.720982,1559300
2019-10-02,65.500000,65.690002,64.470001,65.269997,62.074280,1696800
2019-10-03,65.080002,65.209999,64.480003,65.150002,61.960163,1342900
2019-10-04,65.129997,65.760002,65.129997,65.750000,62.530781,1397400
2019-10-07,65.620003,65.879997,65.110001,65.269997,62.074280,1337700
2019-10-08,64.919998,66.099998,64.860001,65.849998,62.625881,1884500
2019-10-09,66.040001,66.300003,65.720001,66.080002,62.844624,1081300
2019-10-10,65.989998,66.459999,65.910004,66.089996,62.854122,1044300
2019-10-11,66.349998,66.900002,66.309998,66.389999,63.139446,1362600
2019-10-15,66.400002,67.169998,66.389999,66.870003,63.595943,1181500
2019-10-16,66.989998,67.330002,66.919998,67.230003,63.938316,896000
2019-10-17,67.190002,67.330002,66.889999,67.320000,64.023911,677300
2019-10-18,67.400002,67.849998,67.190002,67.410004,64.109512,931400
2019-10-21,67.650002,67.779999,67.410004,67.449997,64.147545,570200
2019-10-22,67.529999,67.800003,67.400002,67.510002,64.204613,691500
2019-10-23,67.500000,67.750000,67.339996,67.480003,64.176079,663300
2019-10-24,67.489998,67.720001,67.220001,67.379997,64.080978,733100
2019-10-25,67.199997,67.750000,67.150002,67.470001,64.166565,619100
2019-10-28,67.599998,68.050003,67.589996,67.709999,64.394821,693500
2019-10-29,67.559998,68.000000,67.529999,67.809998,64.489922,619200
2019-10-30,67.940002,68.099998,67.680000,67.940002,64.613556,535800
2019-10-31,67.709999,68.150002,67.529999,68.019997,64.689636,839900
2019-11-01,68.129997,68.330002,68.070000,68.250000,64.908379,834500
2019-11-04,68.680000,68.680000,68.250000,68.250000,64.908379,736600
2019-11-05,68.260002,68.809998,68.260002,68.559998,65.203201,898100
2019-11-06,68.559998,68.739998,68.180000,68.639999,65.279289,908600
2019-11-07,68.800003,69.180000,68.790001,68.989998,65.612137,842500
2019-11-08,69.070000,69.430000,68.989998,69.389999,65.992561,788200
2019-11-11,69.180000,69.680000,69.139999,69.480003,66.078156,585000
2019-11-12,69.629997,69.790001,69.239998,69.449997,66.049622,562100
2019-11-13,69.269997,69.620003,69.019997,69.370003,65.973541,659400
2019-11-14,69.059998,69.669998,69.040001,69.639999,66.230324,514300
2019-11-15,69.750000,69.800003,69.510002,69.680000,66.268356,580200
2019-11-18,69.610001,69.970001,69.480003,69.809998,66.391991,515600
2019-11-19,69.839996,69.970001,69.589996,69.860001,66.439552,721900
2019-11-20,69.790001,70.809998,69.709999,70.300003,66.858017,1162600
2019-11-21,70.430000,70.430000,69.750000,70.269997,66.829475,1102800
2019-11-22,70.220001,70.769997,70.180000,70.690002,67.228912,767800
2019-11-25,70.769997,71.120003,70.720001,70.919998,67.447647,717700
2019-11-26,70.849998,70.989998,70.330002,70.830002,67.362061,988300
2019-11-27,70.879997,70.989998,70.690002,70.949997,67.476181,577800
2019-11-28,70.860001,70.930000,70.699997,70.900002,67.428642,182400
2019-11-29,70.910004,71.150002,70.809998,71.150002,67.666389,487100
2019-12-02,71.139999,71.150002,70.440002,70.900002,67.428642,1002800
2019-12-03,70.599998,70.860001,70.190002,70.849998,67.381073,1052000
2019-12-04,71.150002,72.720001,71.070000,72.239998,68.703018,1510600
2019-12-05,72.000000,73.089996,71.949997,72.970001,69.397285,3516500
2019-12-06,73.010002,73.220001,71.550003,71.860001,68.341629,1788300
2019-12-09,71.489998,71.980003,71.320000,71.980003,68.455757,1053700
2019-12-10,71.779999,72.080002,71.250000,72.080002,68.550850,1107100
2019-12-11,71.949997,72.519997,71.949997,72.269997,68.731552,1026100
2019-12-12,72.250000,72.849998,72.160004,72.199997,68.664986,1430600
2019-12-13,72.309998,72.599998,71.910004,72.199997,68.664986,1572400
2019-12-16,72.290001,72.430000,71.910004,72.099998,68.569878,762700
2019-12-17,72.279999,72.309998,71.830002,72.139999,68.607925,814900
2019-12-18,71.879997,72.040001,71.309998,71.980003,68.455757,1787900
